path,label
C:\Projects\infrastructure-defect-detection\data\raw\Negative\18549.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17994_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\04244.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01630.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10632.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\08361.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\14001.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\03417.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01004.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06227.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16810.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\18472.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04626.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\11180.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04111.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\01310.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09540.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\10001_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09365.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\05664.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\18948.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15216.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02581.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\19456.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\00683.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06643.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\12497_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\00360.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08795.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04971.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\05098.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\02740.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\15042_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02218.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\05803.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\14304.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\16607_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\18998.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\01055.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\05160.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\07643.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\01110.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\16503_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09326.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10125.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\11564_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\02071.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\02997.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\13332_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08544.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17563_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16669.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08543.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\12481.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\03883.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\18013_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\12326_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04734.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06113.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\11525.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\14509_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\18375.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\11961_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\11470.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\16379_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\10736_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06904.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\05984.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10361.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\01986.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\15533_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02877.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09815.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\14710_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\11807.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03086.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09934.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\16681_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\08085.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\14412_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\13362.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\12225.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03752.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09216.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\08122.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04875.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16931.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\08069.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15258.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03251.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\08270.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09919.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\02572.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\04121.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10844.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\13194.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\15242_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10600.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\17539.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08626.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\05576.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\05526.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03567.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15669.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\08315.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\10737_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03320.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\07703.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\19617.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\06450.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\19702.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\07955.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\01886.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09965.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\18392.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01753.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\14733_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\11545.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17637_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\00480.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\16136_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\13820.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02885.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\16504_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09434.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06258.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\11953.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04882.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\14106_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\02190.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\06331.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\14030.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\01229.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\16448_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\02493.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\14797_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\16955_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\18439_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09194.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06301.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\07210.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\11869_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\18816.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04766.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03636.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\00038.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17531_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\18472_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\07954.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\11109.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\00731.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02037.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\19639.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10344.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17087_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\00087.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\04922.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\07442.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\11490_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\12159.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\18701_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\05270.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\08365.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09619.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03149.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09263.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17558_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15121.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09370.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\16181_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\19805.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09217.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\07019.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17091_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\13614.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\18188_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10714.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\14001_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\14004.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08110.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\13180.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04662.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\07009.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15835.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16910.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03602.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06789.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\07294.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\19879.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09104.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04822.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\19939.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\00390.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01640.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\07004.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10795.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\16541_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16018.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09011.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03955.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02897.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\18781_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\19023.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\07747.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17666_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01496.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\11380.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\02563.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09667.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16284.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\14459.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04070.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02659.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03756.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15096.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16206.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01471.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\00349.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\06177.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02575.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03906.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09829.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\05222.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08202.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01452.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\05034.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\08477.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\00265.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\19040_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\19321_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08824.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\11700_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08617.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16144.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\03415.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\10452.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06382.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\00651.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\05589.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\15932_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\14303.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\14313.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\06672.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01459.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\08814.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06739.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16123.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\19789.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01124.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\04956.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\06402.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15831.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02939.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\15950_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\00425.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16891.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16341.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\00317.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\05195.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\07873.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\10052_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03027.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17700_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\19666.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\02794.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\02352.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\13200_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15383.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\10970_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06836.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\01882.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\11051.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\16692.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\13977.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08157.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\14482_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\05353.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\03407.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06384.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\05550.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15119.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01666.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17833_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\14719_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09195.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\19812.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\12118_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\17656_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\12057.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\11979_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\11449.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\07726.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\09318.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\18693.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\03017.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\17142.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\14174_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\15007_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\06798.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\10142_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\19553.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09252.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\18873_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15905.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\07487.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01618.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\03715.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\14017.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\05718.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01677.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\00135.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09853.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\01259.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\06597.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09988.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\07654.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\04188.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Positive\07820.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\15667.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\09698.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\13293.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\19808.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Positive\13134_1.jpg,1
C:\Projects\infrastructure-defect-detection\data\raw\Negative\00909.jpg,0
C:\Projects\infrastructure-defect-detection\data\raw\Negative\08275.jpg,0
